#Str nr   filename                   CCS_PA (SEM_rel)     CCS_TJM*      n_iter
CCS 1     output_atomistic/model.0_atomistic.pdb   12665.9482 ( 0.0033)   17324.0566       76800
CCS 2     output_atomistic/model.10_atomistic.pdb   12616.7832 ( 0.0033)   17253.3691       86528
CCS 3     output_atomistic/model.11_atomistic.pdb   12595.6250 ( 0.0033)   17222.9531      104960
CCS 4     output_atomistic/model.12_atomistic.pdb   12527.7139 ( 0.0033)   17125.3438      109568
CCS 5     output_atomistic/model.13_atomistic.pdb   12655.3711 ( 0.0032)   17308.8496       96256
CCS 6     output_atomistic/model.14_atomistic.pdb   12646.2168 ( 0.0033)   17295.6855       86016
CCS 7     output_atomistic/model.15_atomistic.pdb   12624.1807 ( 0.0033)   17264.0039       60928
CCS 8     output_atomistic/model.16_atomistic.pdb   12685.2148 ( 0.0033)   17351.7617      118272
CCS 9     output_atomistic/model.17_atomistic.pdb   12625.1162 ( 0.0033)   17265.3496      114176
CCS 10    output_atomistic/model.18_atomistic.pdb   12629.7432 ( 0.0033)   17272.0020       86016
CCS 11    output_atomistic/model.19_atomistic.pdb   12534.4023 ( 0.0033)   17134.9570       68608
CCS 12    output_atomistic/model.1_atomistic.pdb   12618.9746 ( 0.0033)   17256.5195       91648
CCS 13    output_atomistic/model.20_atomistic.pdb   12573.3223 ( 0.0033)   17190.8945      105984
CCS 14    output_atomistic/model.21_atomistic.pdb   12593.9863 ( 0.0033)   17220.5977      142848
CCS 15    output_atomistic/model.22_atomistic.pdb   12654.8604 ( 0.0033)   17308.1133       96256
CCS 16    output_atomistic/model.23_atomistic.pdb   12649.6348 ( 0.0033)   17300.5996       73216
CCS 17    output_atomistic/model.24_atomistic.pdb   12623.6113 ( 0.0033)   17263.1855       94720
CCS 18    output_atomistic/model.25_atomistic.pdb   12685.6895 ( 0.0033)   17352.4434      108544
CCS 19    output_atomistic/model.26_atomistic.pdb   12610.7383 ( 0.0033)   17244.6797      109568
CCS 20    output_atomistic/model.27_atomistic.pdb   12558.7168 ( 0.0033)   17169.9023       91136
CCS 21    output_atomistic/model.28_atomistic.pdb   12647.5967 ( 0.0033)   17297.6699       88576
CCS 22    output_atomistic/model.29_atomistic.pdb   12597.1992 ( 0.0033)   17225.2168       55296
CCS 23    output_atomistic/model.2_atomistic.pdb   12623.0859 ( 0.0033)   17262.4297       95232
CCS 24    output_atomistic/model.30_atomistic.pdb   12691.0625 ( 0.0033)   17360.1699       88064
CCS 25    output_atomistic/model.31_atomistic.pdb   12713.6572 ( 0.0032)   17392.6641       60928
CCS 26    output_atomistic/model.32_atomistic.pdb   12631.7773 ( 0.0032)   17274.9258       99840
CCS 27    output_atomistic/model.33_atomistic.pdb   12531.1250 ( 0.0033)   17130.2461      107520
CCS 28    output_atomistic/model.34_atomistic.pdb   12610.5537 ( 0.0033)   17244.4141       84992
CCS 29    output_atomistic/model.35_atomistic.pdb   12635.3994 ( 0.0033)   17280.1328       89600
